a,b,c,d
Archangel Michael Monastery in the village of Ust-Vym,Ust-Vym,Russia,monasteries
Archangel Michael Monastery,great Ustyug,Russia,monasteries
St. Michael Pokrovsky Monastery,Mikhailov,Russia,monasteries
Mogilev Assumption Monastery,Mogilevka,Russia,monasteries
Resurrection monastery,Soligalich,Russia,monasteries
Monastery Reigning Mother of God,Izobilnoye,Russia,monasteries
Monastery Optina,Kozelsk,Russia,monasteries
Saint Elizabeth Monastery,Lakeshire,Russia,monasteries
Monastery of the Savior on the Ugra,Kaluga,Russia,monasteries
Monastery in Shamordino,Shamordino,Russia,monasteries
Monastery of the Icon of the Mother of God Vsetsaritsa,Krasnodar,Russia,monasteries
Male Kazansky Monastery,Norovka,Russia,monasteries
Monastery in the name of Our Lady of Kazan,Nizhny Tagil,Russia,monasteries
Murom Spaso-Preobrazhensky Monastery,Moore,Russia,monasteries
Mtsensk Peter and Paul Monastery in Orel region.,Mцensk,Russia,monasteries
Nikita Kashirsky convent,Kashira,Russia,monasteries
Nikitsky monastery,Pereslavl,Russia,monasteries
Cowl Nicholas convent in Kashin of Tver Region,Cashin,Russia,monasteries
Cowl Nicholas Monastery in Kashin,Cashin,Russia,monasteries
Malicki Nicholas Monastery,Nikola-Brunch,Russia,monasteries
Nicholas Monastery,Arzamas,Russia,monasteries
Nicolo - Uleymensky Monastery,Uglich,Russia,monasteries
St. Nicholas Monastery in Babaevsky Nekrasovskoe district of Yaroslavl region,Nekrasovskoye,Russia,monasteries
Nicholas Berlyukovskaya mens deserts in the Noginsk district of the Moscow region,Losino-Petrovsky,Russia,monasteries
Nicholas Volosovsky diocesan convent in the village of Volosovo,Volosovo,Russia,monasteries
St. Nicholas Monastery Vyazhischsky,Vyazhishti,Russia,monasteries
Perervinsky Nicholas Monastery in Moscow,Moscow,Russia,monasteries
Peshnoshsky Nicholas Monastery in Moskovskaya oblast,Lugovoy,Russia,monasteries
St. Nicholas Monastery Radovitsky,Radovicy,Russia,monasteries
Nicholas Stolpenskaya Pustin Tver region (Nicholas Stolbensky Pustin),Vishny Volochek,Russia,monasteries
Nicholas Terebenskaya desert,toiler,Russia,monasteries
St. Nicholas Monastery Ugreshsky,Dzerzhinsky,Russia,monasteries
Nicholas Ugreshsky Stauropegial Monastery,Dzerzhinsky,Russia,monasteries
"Nicholas Uleyminsky convent in Uglich District, Yaroslavl Region",Uglich,Russia,monasteries
Shartomsky Nicholas Monastery in the village of Ivanovo region Vvedenye,Shuya,Russia,monasteries
Verkhotursky Nicholas Monastery,Verkhoture,Russia,monasteries
Nikolsky convent Kuzhenersky,big Sabaner,Russia,monasteries
Pereslavsky Nicholas convent in the Yaroslavl region,Pereslavl,Russia,monasteries
Nicholas Tikhonov Luhovsky Monastery in Ivanovo region,Timiryazevo,Russia,monasteries
Nicholas Monastery,Staraya Ladoga,Russia,monasteries
Nilo-Sora desert,Kirillov,Russia,monasteries
Nilov deserts,Nilovka,Russia,monasteries
Nilov deserts,skylights,Russia,monasteries
Novo Golutvin Trinity Convent,Kolomna,Russia,monasteries
Novo-Tikhvin Nunnery,Ekaterinburg,Russia,monasteries
Novodevichy convent,Moscow,Russia,monasteries
Novospasskyy monastery,Moscow,Russia,monasteries
Holguin Volgoverkhovye monastery in Ostashkov district of Tver region,Volgoverkhovye,Russia,monasteries
Holguin monastery at the source of the Volga,Volgoverkhovye,Russia,monasteries
"Orange, Virgin Monastery",plowing,Russia,monasteries
Kiy island,Onega,Russia,architecture
Ostrovoezersky Trinity Monastery,Vorsma,Russia,monasteries
Paraskevi Paygarmsky Ascension convent in Ruzaevsky district of Mordovia,Ruzaevka,Russia,monasteries
Paraskevi Ascension Nunnery,Paygarma,Russia,monasteries
Perm Epiphany Monastery in Upper Courier,Permian,Russia,monasteries
Rostov Petrovsky Monastery in Yaroslavl region,Rostov,Russia,monasteries
Cave monastery Ignatius,Valujki,Russia,monasteries
Compound Vvedensky Monastery in Optina,St. Petersburg,Russia,monasteries
Compound Ascension Davids desert,Talezh,Russia,monasteries
Pokrovsky Alexander Nevsky convent,Kolyvan,Russia,monasteries
Pokrovsky Khotko stauropegic convent,Hotkovo,Russia,monasteries
Pokrovsky Monastery in Korsakov,Korsakov,Russia,monasteries
"Intercession Monastery Vasilevsky,",Pavlovsky Posad,Russia,monasteries
Pokrovsky Compound Solovetsky Monastery,Izhma,Russia,monasteries
Transfiguration Monastery,Kamensk-Uralsky,Russia,monasteries
Raifa Monastery,place Raif,Russia,monasteries
Ranenburgskaya Paul desert,Roshinsky,Russia,monasteries
Rigodischensky Nativity Convent,Rigodishti,Russia,monasteries
Rizopolozhensky convent,Suzdal,Russia,monasteries
Nativity of the Virgin convent,Rostov,Russia,monasteries
Nativity of the Virgin Monastery Bobrenev,Kolomna,Russia,monasteries
Nativity of the Theotokos Monastery Sanaksar,Ihula,Russia,monasteries
Rila St. Nicholas Monastery,suburban Slobidka,Russia,monasteries
Savvateva deserts in the Tver Region,Savvatevo,Russia,monasteries
Savvino Storozhevsky Monastery,Zvenigorod,Russia,monasteries
Svensky Holy Assumption Monastery,Suponevo,Russia,monasteries
Sviazhsky Holy Dormition Monastery,Sviyazhsk,Russia,monasteries
Holy Alexandrovsky monastery in Suzdal,Suzdal,Russia,monasteries
Holy Artemievo-Verkola Monastery,Verkola,Russia,monasteries
Holy Annunciation Nikandrova desert,Lyubovets,Russia,monasteries
Holy Annunciation Kirzhachskiy convent,Kirzhach,Russia,monasteries
Holy Annunciation convent Vyazniky,Vyazniki,Russia,monasteries
Holy Mother of God Monastery Shcheglovsky in Tula,Tula,Russia,monasteries
Holy Epiphany Monastery in p.Mstora,Mstera,Russia,monasteries
Vvedensky Makarii Zhabynskaya desert,Jabın,Russia,monasteries
Nikon Vvedensky Monastery in Yuryev-Polsky,Yuriev-Polsky,Russia,monasteries
Vvedensky Tolga convent,Yaroslavl,Russia,monasteries
Vvedensky Nunnery,Vladimirets,Russia,monasteries
Vvedensky convent in the island n. Vvedenskii,Vvedensky,Russia,monasteries
Holy Resurrection Men Ermolinskaya desert,Ermolino,Russia,monasteries
Holy Resurrection Convent in Murom,Moore,Russia,monasteries
St. Dimitry Troekurov Ilarionovsky diocesan convent,Troekurovo,Russia,monasteries
Holy Spirit Convent Jacob Borovichsky,Borovichi,Russia,monasteries
Holy Spirit Monastery Skopinsky,Skopin,Russia,monasteries
Holy Spirit Convent in Veliky Novgorod,Novgorod,Russia,monasteries
Holy Spirit Monastery,Borovichi,Russia,monasteries
Holy Spirit Alatirskie desert,Alatyr,Russia,monasteries
Saint Catherines Monastery of Tver,Tver,Russia,monasteries
St. John the Theologian Monastery,Poshtupovo,Russia,monasteries
St. Johns Monastery,St. Petersburg,Russia,monasteries
St. Kazan Trifonova womens deserts,Verhnechusovskie towns,Russia,monasteries
Holy Monastery Kazan Chimeevsky,Chimeevo,Russia,monasteries
Holy men Kosminskaya desert,Kostyleva,Russia,monasteries
Holy Lavrentiev Monastery in Kaluga,Kaluga,Russia,monasteries
St. Michaels Mount Athos Monastery,victory,Russia,monasteries
St. Michaels Convent in the Ulyanovsk region,Ulyanovsk,Russia,monasteries
St. Nicholas Monastery Cherneevsky,Starocherneevo,Russia,monasteries
St. Nicholas Volosovsky nunnery in. Volosovo,Mihlino,Russia,monasteries
St. Nicholas convent Mamontovsky,Mammoth,Russia,monasteries
St. Nicholas Monastery Chernoostrovsky,Dubna,Russia,monasteries
St. Nicholas diocesan convent,Kaliningrad,Russia,monasteries
St. Nicholas Monastery,Bolshekulache,Russia,monasteries
Holy Olginsky convent,Insarsky,Russia,monasteries
St. Panteleimon Monastery,Petropavlovsk-Kamchatsky,Russia,monasteries
St. Panteleimon Monastery,Bezrukovo,Russia,monasteries
St. Paphnutius of Borovsk Monastery,Borowski,Russia,monasteries
St. Peter and Paul convent,foo,Russia,monasteries
Holy Protection Avraamievo-Gorodetsky Monastery,Nozhkin,Russia,monasteries
Holy Protection Convent,Камышлов,Russia,monasteries
Holy Protection Convent,Verkhoture,Russia,monasteries
Holy Protection Convent in Suzdal,Suzdal,Russia,monasteries
Holy Protection nunnery stauropegic,Moscow,Russia,monasteries
Baptist St. Jacob-Zheleznoborovsky Monastery,Barack,Russia,monasteries
St. Seraphim of Sarov monastery,Novomakarovo,Russia,monasteries
St. Seraphim of Sarov monastery,Russian island,Russia,monasteries
Holy Sretensky convent in Gorokhovets,Gorohovets,Russia,monasteries
St. Tikhonov desert,Lev Tolstoy,Russia,monasteries
St. Tikhon Transfiguration nunnery,zadonsk,Russia,monasteries
St. Tikhons Monastery in Toropets,Torzhok,Russia,monasteries
Holy Trinity-Nikolsky monastery in Gorokhovets,Gorohovets,Russia,monasteries
The Holy Trinity Alexander Nevsky Lavra,St. Petersburg,Russia,monasteries
Holy Trinity St. Sergius desert of the sea,Strelna,Russia,monasteries
Holy Trinity St. Sergius Lavra,Sergiev Posad,Russia,monasteries
Holy Trinity Alexander Svirsky Monastery,Staraya Sloboda,Russia,monasteries
"Holy Trinity Alexander Nevsky stauropegic nunnery in. Akatova, Moscow region.",Vysokovsk,Russia,monasteries
Holy Trinity Monastery Vsetsaritsynsky,Taraskovo,Russia,monasteries
Holy Trinity Monastery Zelenetsky,Zieleniec,Russia,monasteries
Holy Trinity Ipatiev Monastery,Kostroma,Russia,monasteries
Holy Trinity Makarievo-Unzhensky convent,Makarev,Russia,monasteries
Holy Trinity Monastery Makarievsky Zheltovodsky,Makarievo,Russia,monasteries
Holy Trinity Monastery Michael-Klopskyy,Selco,Russia,monasteries
Holy Trinity convent Nikandrov,Nikandrov,Russia,monasteries
Holy Trinity Nicholas Monastery,mountain Keys,Russia,monasteries
Holy Trinity Monastery of St. Paul Obnorsk,youthful,Russia,monasteries
Holy Trinity Diocesan Selenga monastery,powder,Russia,monasteries
Holy Trinity Seraphim-Diveevo Monastery,Diveevo,Russia,monasteries
Stefanov Holy Trinity Monastery in the city of Perm,Permian,Russia,monasteries
Holy Trinity Monastery Holkovsky,Holki,Russia,monasteries
Holy Trinity Convent,Smolensk,Russia,monasteries
Holy Trinity Convent,Simferopol,Russia,monasteries
Holy Trinity Convent in Murom,Moore,Russia,monasteries
Holy Trinity Monastery,Cheboksary,Russia,monasteries
Holy Trinity Monastery,Alatyr,Russia,monasteries
Holy Trinity Monastery,Tyumen,Russia,monasteries
Holy Trinity Monastery,Ryazan,Russia,monasteries
Holy Trinity Monastery,Michurinsk,Russia,monasteries
Holy Assumption Teterinskaya female desert,Teterinskoe,Russia,monasteries
Holy Assumption Florischeva desert,Frohlich,Russia,monasteries
Holy Assumption Vyshenskii convent,Witzlaus,Russia,monasteries
Holy Assumption Monastery Divnogorsky,Dyvnohore,Russia,monasteries
Holy Assumption Knyaginin convent in Vladimir,Vladimir,Russia,monasteries
Holy Assumption Paisievo-Galich convent,Galich,Russia,monasteries
The Holy Dormition Pskov-Caves monastery,Pechora,Russia,monasteries
Holy Assumption Trifonov mens hermitage,Uspenka,Russia,monasteries
Holy Assumption Convent in Aleksandrov,Alexandrov,Russia,monasteries
Holy Assumption Monastery in Lipetsk (Paroyskaya deserts),Lipetsk,Russia,monasteries
Yuriev Monastery,Yuryevo,Russia,monasteries
Holy Protection Nunnery,Verkhoture,Russia,monasteries
Svyatogorsk Holy Assumption Monastery,Pushkin Mountains,Russia,monasteries
Sedmiozernaya mens deserts,Kazan,Russia,monasteries
Sezenovsky John the Kazan Nunnery,Sezenovo,Russia,monasteries
Semigorodnaya Dormition desert,Kharovsk,Russia,monasteries
Seraphim Ponetaevsky Monastery,Ponetaevka,Russia,monasteries
Serpukhov Vysotsky Monastery,Serpukhov,Russia,monasteries
Simonov monastery,Moscow,Russia,monasteries
Skeet Trifon Vyatka in Perm Krai (Pyskorsky Spaso-Preobrazhensky Monastery),Pyskor,Russia,monasteries
Skeet Mother of God The Inexhaustible Cup,Pirozero,Russia,monasteries
Who Sorrow convent,Nizhny Tagil,Russia,monasteries
Snetogorsky monastery,Pskov,Russia,monasteries
Solikamsk Holy Trinity Monastery,Solikamsk,Russia,monasteries
Solikamsk Trinity Monastery in the Perm region. (Solikamsk Ascension Monastery),Solikamsk,Russia,monasteries
Solotchinsky monastery,Ryazan,Russia,monasteries
"Sophia Convent in Rybinsk, Yaroslavl region.",Rybinsk,Russia,monasteries
Vernicle desert village fang,Klıkovo,Russia,monasteries
Spaso-Andronicus monastery,Moscow,Russia,monasteries
Spaso-Borodino nunnery,Utitsa,Russia,monasteries
Spaso-Bethany Monastery,Sergiev Posad,Russia,monasteries
Spaso-Vlaherna convent,Moscow,Russia,monasteries
Holy Ascension Nunnery,Smolensk,Russia,monasteries
Spaso-Gennadiev Lyubimsky monastery in the village of Sloboda Yaroslavl region.,reserve,Russia,monasteries
Spaso-Elizarovsky convent,Elizarovo,Russia,monasteries
Spaso-Kazan Simansky convent in the city of Island of the Pskov region.,Isle,Russia,monasteries
Kamenny monastery,mouth,Russia,monasteries
"Saviors Monastery in the village Kukotsky Serbilovo, the Ivanovo region.",Gavrilov Posad,Russia,monasteries
Spaso-Preobrazhensky Monastery Avraamiev,Smolensk,Russia,monasteries
Spaso-Preobrazhensky Monastery Arsenyevsky,Belev,Russia,monasteries
Savior-Transfiguration Valaam Monastery,Balaam,Russia,monasteries
Savior-Transfiguration Valaam Monastery of,Leppyaselkya,Russia,monasteries
Kazan Savior-Transfiguration Monastery,Kazan,Russia,monasteries
Spaso-Preobrazhensky Solovetsky Monastery,Solovetsky,Russia,monasteries
Spaso-Preobrazhensky convent,Cheboksary,Russia,monasteries
Transfiguration Monastery,Arzamas,Russia,monasteries
Transfiguration Monastery,Yaroslavl,Russia,monasteries
Transfiguration Monastery in Roslavl,Smolensk,Russia,monasteries
Transfiguration Monastery in Staraya Russa,Staraya Russa,Russia,monasteries
Spaso-Prilutsky Dimitriev monastery,Vologda,Russia,monasteries
Saviors Monastery Sumorin,Totma,Russia,monasteries
Spassky Monastery,Yakutsk,Russia,monasteries
Sredneuralsky convent in honor of the Blessed Virgin Mary Sporitelnitsa bread,Sredneuralsk,Russia,monasteries
Sretensky monastery,Moscow,Russia,monasteries
Sretensky Monastery in Kashin,Cashin,Russia,monasteries
Staritskiy Holy Assumption Monastery,old woman,Russia,monasteries
Old-Golutvin Epiphany Monastery in Kolomna,Kolomna,Russia,monasteries
Staroladozhsky Holy Assumption Nunnery,Staraya Ladoga,Russia,monasteries
Syzranskiy Ascension Monastery in the Samara region.,Sizran,Russia,monasteries
Tantric Monastery Lords Zonkavy in Gorodovikovsk,Gorodovikovsk,Russia,monasteries
Tvorozhkovsky monastery,Tvorozhkovo,Russia,monasteries
Tikhvin Mother of God convent,full profile,Russia,monasteries
Tikhvin Virgin convent,sensational,Russia,monasteries
Marian Tikhvin Assumption Monastery,Tikhvin,Russia,monasteries
Buzuluksky Tikhvin Nunnery (old) in the Orenburg region.,Buzuluk,Russia,monasteries
Tolga convent in Yaroslavl,Yaroslavl,Russia,monasteries
Tolshevsky Spaso-Preobrazhensky convent,Voronezh,Russia,monasteries
Tolshevsky Savior-Transfiguration Convent in the Voronezh region,upper Hawa,Russia,monasteries
Toplovsky Holy Trinity convent Paraskevievsky,Training,Russia,monasteries
Trifonov Pechenga Monastery in the village Luostari Murmansk region,Luostari Lower,Russia,monasteries
"Troekurov Demetrius Illarionovsky convent in Lebedyansky District, Lipetsk region",Troekurovo second,Russia,monasteries
Trinity-St George convent,Sochi,Russia,monasteries
Trinity Monastery-Gledengsky,Morozovitsa,Russia,monasteries
"Trinity-Odigitrievsky Zosimova female deserts in the Naro-Fominsk district, Moscow region",Vereya,Russia,monasteries
Holy Trinity Monastery Varnickiy,Varnicy,Russia,monasteries
"Holy Trinity Varnickiy monastery in Rostov, Yaroslavl region",Rostov,Russia,monasteries
Trinity-Sinozerskaya desert,hermitage,Russia,monasteries
Trinity Stefano Ulnovsky Monastery,Ulyanovo,Russia,monasteries
Trinity-rolling in Pahomievo-Nerehtsky convent,trine,Russia,monasteries
Trinity Alexander Nevsky Convent in Akatova,Vysokovsk,Russia,monasteries
Trinity convent Belbazhsky,Belbazh,Russia,monasteries
Belopesotsky Trinity convent in Stupino,Stupino,Russia,monasteries
Trinity-Boldinskiy Gerasimos Monastery,Boldïno,Russia,monasteries
Trinity Danilov monastery in Pereslavl-Zalessky of Yaroslavl region,Pereslavl,Russia,monasteries
Eletskii Trinity Monastery in the Lipetsk region,Dace,Russia,monasteries
Trinity Monastery in the village Romashkino Kimry district of Tver region,Kimry,Russia,monasteries
Trinity convent Laishevsky,Laishevo,Russia,monasteries
Lebedyansky Trinity convent in the Lipetsk region,Lebedyan,Russia,monasteries
Lintula Holy Trinity convent in the town of Lights Vyborg district of the Leningrad region,Zelenogorsk,Russia,monasteries
Troitsky Mariinsky Convent in Yegorievsk,Egorevsk,Russia,monasteries
Nebin Trinity Monastery in Tver Oblast Toropets,Torzhok,Russia,monasteries
Trinity Nicholas Monastery,mountain Keys,Russia,monasteries
Trinity convent Optina,Bolhov,Russia,monasteries
Ryazan Trinity Monastery,fish,Russia,monasteries
Trinity Monastery in Sevsk Bryansk region,Sevsk,Russia,monasteries
Scans Trinity convent in the Penza region,Skanovo,Russia,monasteries
Khvalynsky Trinity Monastery,Hvalynsk,Russia,monasteries
Trinity Monastery in Lebedyan,Lebedyan,Russia,monasteries
Turin St. Nicholas Monastery,turistickou,Russia,monasteries
Tyndinsky Pokrovsky Monastery,Ust-Tsilma,Russia,monasteries
Ulyanovsk Trinity Stefan monastery in the village of Ulyanovo,Ulyanovo,Russia,monasteries
Valuysky Assumption Monastery in the Belgorod region,Valujki,Russia,monasteries
Assumption Monastery Vtoroafonsky Beshtaugorsky,Zheleznovodsk,Russia,monasteries
Assumption convent Vyshenskii,Witzlaus,Russia,monasteries
Assumption Gornji Vologda convent in Vologda,Vologda,Russia,monasteries
